positive_rows,rows,sampled_rows,trace_id
1400707,2518377,50000,Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-599.champsimtrace.gz
521722,1286286,50000,Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M.champsimtrace.xz
310459,568430,50000,SPEC17_602.gcc_s-734B.champsimtrace.xz
342022,450525,50000,SPEC17_623.xalancbmk_s-165B.champsimtrace.xz
6852,189643,50000,SPEC17_627.cam4_s-573B.champsimtrace.xz
455178,718401,50000,SPEC17_649.fotonik3d_s-1176B.champsimtrace.xz
8888,9019,9019,SPEC17_657.xz_s-56B.champsimtrace.xz
1130374,1811819,50000,ai-ml_bark.cpp-bark-small.semantic_token_gen.3.champsimtrace.gz
1592177,1635063,50000,ai-ml_llama2.c-stories15M.1.champsimtrace.gz
238082,848710,50000,ai-ml_whisper_trace_1.champsimtrace.gz
544625,1000585,50000,gtrace_v2_arizona_arizona_0000.champsim.gz
78419,272305,50000,gtrace_v2_yankee_yankee_0010.champsim.gz
